,loss,mae,mse,val_loss,val_mae,val_mse
50,24.312962857030687,4.2915053,24.312962,20.54633617401123,4.09076,21.335026
51,23.37388690407314,4.191767,23.373892,18.457717895507812,3.835693,18.556942
52,22.1416404256745,4.0913186,22.141636,17.054607391357422,3.8545413,18.81723
53,21.182744633583795,4.003918,21.182745,18.416812419891357,3.5975454,16.373322
54,19.959652061973298,3.878657,19.959652,19.444340705871582,3.6029127,16.385063
55,19.074930466829784,3.7871425,19.074932,12.735170364379883,3.3061888,14.732457
56,18.121205901342726,3.6775534,18.121206,15.958391189575195,3.4817007,15.456426
57,17.236170744139052,3.5831354,17.236174,13.486610889434814,3.2502012,13.407063
58,16.256074087487328,3.4678957,16.256077,10.915090560913086,3.0686593,12.169736
59,15.486280501361877,3.3727932,15.486281,13.353671073913574,3.129345,12.514455
60,14.696934322989176,3.2760274,14.696931,12.171571731567383,3.0965471,12.287731
61,13.968090403174598,3.1856713,13.968088,10.570343017578125,2.9191594,10.911184
